"Enter search keyword", "Search"
"My Cart (%s)", "My Bag { %s }" 
"My Cart (%s)", "My Bag { %s }"
"Shopping Cart", "My Bag"
"Add to Cart", "Add to Bag"
"Enter your email address", "Enter Email Address"
"Grand Total", "Order Total"
"Discount Codes", "Promotion Code"
"Apply Coupon", "Apply"
"Proceed to Checkout", "Checkout"
"Clear Shopping Cart", "Empty Bag"
"Please select region, state or province", "Please Select"
"Place order now","Place Order"
"Reward Points","My Rewards"
"Cancel Coupon","Cancel"
"giftcard code:","Gift Card Code"
"Apply gift card","Apply"
"Forgotten your password?","Forgot your password?"
"Recently added item(s)","Just Added to Bag"
"Add All to Cart","add all to bag"
