"Choose an Option...","Choose an Option..."
"Delete this image","Delete this image"
"Enable swatcher for current Attribute","Enable swatcher for current Attribute"
"Images for Attribute","Images for Attribute"
"Images for Attribute","Images for Attribute"
"Images","Images"
"Image Upload","Image Upload"
"Label Name","Label Name"
"No Image","No Image"
"Please select %s","Please select %s"
"Display Images in pop-up on Mouse Hovering","Display Images in pop-up on Mouse Hovering"
"Swatch settings","Swatch settings"
"Swatcher Preview","Swatcher Preview"
"Enable Extension","Enable Extension"
"Swatcher Image Width, px","Swatcher Image Width, px"
"Swatcher Image Height, px","Swatcher Image Height, px"
"Numerical value, Digits 0-9 are allowed only.","Numerical value, Digits 0-9 are allowed only."
"Use Swatches in Layered Navigation","Use Swatches in Layered Navigation"
