SKU,"Attribute Set Name","Acne Treatment Benefits - Quiz","Anti Aging Treatments - Quiz","Cleanser Benefits - Quiz","Discoloration Benefits - Quiz","Exfoliator Benefits - Quiz","Eye Cream Benefits - Quiz",Ingredients,"Moisturizer Benefits - Quiz","Moisturizer Fragrance - Quiz","Serum Benefits - Quiz",Size,"Skin Concern","SPF Benefits - Quiz"
10004,"Kate Somerville Cleansers",,,"combination skin, oily skin, safe for sensitive skin",,,,"Water/Aqua/Eau, Sodium Laureth Sulfate, Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Betaine, Methyl Gluceth-10, Glycol Stearate, Sodium Chloride, Rosmarinus Officinalis (Rosemary) Leaf Extract, Salicylic Acid, Menthyl Lactate, PPG-26-Buteth-26, PEG-120 Methyl Glucose Dioleate, PEG-40, Hydrogenated Castor Oil, Sodium Citrate, Citrus Aurantium Dulcis (Orange) Peel Oil, Mentha Piperita (Peppermint) Oil, Disodium EDTA, Tocopheryl Acetate, Lavandula Angustifolia (Lavender) Oil, Sodium Benzoate, Potassium Sorbate, Chlorphenesin, Limonene, Linalool",,No,,"4 Fl. Oz.",Oily,
10097,"Kate Somerville Exfoliators",,,,,"polishes skin, safe for sensitive skin, smoothes skin",,"Water/Aqua/Eau, Polyethylene, Lactic Acid, Glycereth-26, Sesamum Indicum (Sesame) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Stearic Acid, Honey (Mel), Hydroxylated Lecithin, Papain, Cetearyl Alcohol, Ceteareth-20, Bromelain, Polyacrylamide, Lactobacillus/Pumpkin Ferment Extract, Triethanolamine, Cetyl Alcohol, C13-14 Isoparaffin, Glyceryl Stearate, PEG-100 Stearate, Caffeine, Citrus Aurantium Dulcis (Orange) Peel Oil, Butylene Glycol, Dehydroxanthan Gum, Pelargonium Graveolens Flower Oil, Laureth-7, Disodium EDTA, Melissa Officinalis Leaf Oil, Salvia Officinalis (Sage) Oil, Tocopheryl Acetate, Aloe Barbadensis Leaf Juice, Lecithin, Caprylic/Capric Triglyceride, Hydrogenated Lecithin, Cyclopentasiloxane, BHT, Cyclohexasiloxane, Disodium Phosphate, Ascorbyl Palmitate, Retinyl Palmitate, Lactose, Sodium Phosphate, Helianthus Annuus (Sunflower) Seed Oil, Chlorphenesin, Potassium Sorbate, Sodium Benzoate, Citronellol, Geraniol, Limonene, Blue 1 Lake (CI 42909), Yellow 10 Lake (CI 47005), Chlorophyllin-Copper Complex (CI 75810)",,No,,"2 Fl. Oz.","All Skin Types, Sensitive",
10124,"Kate Somerville Exfoliators",,,,,"acne prone skin, polishes skin, reduces and prevents breakouts, smoothes skin",,"Active Ingredient: Salicylic acid 0.5% 

<p>Inactive Ingredients: Water/Aqua/Eau, Dicaprylyl Carbonate, Montmorillonite, Glycerin, Distarch Phosphate, Triethanolamine, Glyceryl Stearate, 4-Terpineol, Jojoba Esters, Cetearyl Alcohol, Ceteareth-20, Polyacrylamide, Lactic Acid, Glycolic Acid, Phytic Acid, Protease, Copaifera Officinalis (Balsam Copaiba) Resin, C13-14 Isoparaffin, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Lavandula Angustifolia (Lavender) Oil, Carapa Guaianensis Seed Oil, Euterpe Oleracea Fruit Oil, Laureth-7, Dehydroxanthan Gum, Citrus Limon (Lemon) Peel Oil, Citrus Paradisi (Grapefruit) Peel Oil, Alcohol, Pelargonium Graveolens (Geranium) Flower Oil, Genipa Americana Fruit Extract, Ocimum Basilicum (Basil) Oil, Jasminum Officinale (Jasmine) Oil, Glycine, Carica Papaya (Papaya) Fruit Extract, Ananas Sativus (Pineapple) Fruit Extract, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Salix Nigra (Willow) Bark Extract, Sodium Hydroxide, Ethylhexylglycerin, Phenoxyethanol, Limonene, Linalool",,No,,"2 Fl. Oz.",Acne,
10008,"Kate Somerville",,,,,,,"Water/Aqua/Eau, Kaolin, Cetyl Alcohol, Linum Usitatissimum (Linseed) Seed Oil, Stearic Acid, Glyceryl Stearate, Magnesium Aluminum Silicate, Glycerin, Sodium C14-16 Olefin Sulfonate, Bisabolol, Phytic Acid, Triethanolamine, Argania Spinosa Kernel Extract, Butylene Glycol, Serenoa Serrulata Fruit Extract, Sesamum Indicum (Sesame) Seed Extract, Guaiazulene, Lavandula Angustifolia (Lavender) Oil, Allantoin, PEG-60 Almond Glycerides, Caprylyl Glycol, Lecithin, Caprylic/Capric Triglyceride, Hydrogenated Lecithin, Cyclopentasiloxane, BHT, Cyclohexasiloxane, Disodium Phosphate, Tocopheryl Acetate, Retinyl Palmitate, Ascorbyl Palmitate, Carbomer, Nordihydroguaiaretic Acid, Oleanolic Acid, Sodium Phosphate, Disodium EDTA, Sodium Benzoate, Potassium Sorbate, Chlorphenesin, Titanium Dioxide (CI 77891), Zinc Oxide (CI 77947)",,No,,"2 Fl. Oz.",,
10090,"Kate Somerville",,,,,,,"Water/Aqua/Eau, Glycerin, Xylitylglucoside, Betaine, Carbomer, Sodium PCA, Anhydroxylitol, Urea, Cucumis Sativus (Cucumber) Fruit Extract, Butylene Glycol, PEG-40 Hydrogenated Castor Oil, PPG-26-Buteth-26, Xylitol, Glyceryl Acrylate/Acrylic Acid Copolymer, Polyquaternium-51, Trehalose, Sodium Hydroxide, Hydrolyzed Algin, Chlorella Vulgaris Extract, Potassium Sorbate, Sea Water (Maris Aqua), Sodium Benzoate, Benzyl Alcohol, Disodium EDTA, Panthenol, Sodium Hyaluronate, Triacetin, Allantoin, Niacinamide, Dehydroacetic Acid, Boerhavia Diffusa Root Extract, Aloe Barbadensis Leaf Juice, Camellia Sinensis Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Epilobium Angustifolium Flower/Leaf/Stem Extract, Methylisothiazolinone, Yellow 5 (CI 19140), Blue 1 (CI 42090)
",,No,,"2 Fl. Oz.",,
10030,"Kate Somerville",,,,,,,"Hamamelis Virginiana (Witch Hazel)Water, Hydrolyzed Soy Flour, Glycerin, Glycolic Acid, Water/Aqua/Eau, Lactic Acid, Nymphaea Coerulea Flower Extract, Polysorbate 20, Fructooligosaccharides, Glucosamine HCl, Hydroxypropyl Methylcellulose, Sodium Chloride, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Carrageenan, Sorbitol, Mannitol, Hydrolyzed Actin, Sodium Glucuronate, Calcium Gluconate, Trisodium Ethylenediamine Disuccinate, Parfum/Fragrance, Limonene, Linalool <p>                             

<p>Sunburn Alert: This product contains an alpha hydroxy acid (AHA) that may increase your skin's sensitivity to the sun and particularly the possibility of sunburn. Use a sunscreen, wear protective clothing, and limit sun exposure while using this product and for a week afterwards.</p>
<p><span style=""font-size: small;"">Sorry, this item is no longer available.</span></p>",,No,,"1.7 Fl. Oz.",,
10126,"Kate Somerville",,,,,,,"Water/Aqua/Eau, Lactic Acid, Glycerin, Hamamelis Virginiana (Witch Hazel) Bark.Leaf/Twig Extract, Myrtus Communis Extract, Allium Cepa (Onion) Bulb Extract, Salvia Officinalis (Sage) Leaf Extract, Ascorbic Acid, Niacinamide, Polysorbate 80, Usnic Acid, Sulfur, Disodium EDTA, Sodium Hydroxide, Fragrance/Parfum, Potassium Sorbate, Citronellol, Geraniol, Limonene, Linalool<p>                                         

<p>Sunburn Alert: This product contains an alpha hydroxy acid (AHA) that may increase your skin's sensitivity to the sun and particularly the possibility of sunburn. Use a sunscreen, wear protective clothing, and limit sun exposure while using this product and for a week afterwards.",,No,,"16 pack","Anti-Aging, Anti-Aging & Acne, Discoloration, Oily, Sensitive",
10013,"Kate Somerville Serums",,,,,,,"Water/Aqua/Eau, Aminopropyl Ascorbyl Phosphate, Chamomilla Recutita (Matricaria) Extract, Camellia Sinensis Leaf Extract, Ethylhexylglycerin, Polysorbate 20, Hydroxyethylcellulose, Sodium Hyaluronate, Hydrogenated Lecithin, Sodium PCA, Tocopheryl Acetate, Xanthan Gum, Lysine, Glycine, Proline, Potassium Sorbate, Sodium Benzoate, Anthemis Nobilis Flower Oil, Lavandula  Angustifolia (Lavender) Oil, Geranium Maculatum (Geranium) Oil, Limonene, Citronellol, Geraniol, Linalool",,No,,"1 Fl. Oz.",,
10121,"Kate Somerville Discoloration Treatments",,,,,,,"Water/Aqua/Eau, Caprylic/Capric Triglyceride, Di-C12-13 Alkyl Malate, Olea Europaea (Olive) Fruit Unsaponifiables, Alpha-Arbutin, PEG-100 Stearate, Cetearyl Alcohol, Vaccinium Myrtillus Fruit Extract, Dimethyl Isosorbide, Glyceryl Stearate, Tetrahexyldecyl Ascorbate, Polyacrylate-13, Salicylic Acid, Saccharum Officinarum (Sugar Cane) Extract/Extrait de canne à sucre, Polyisobutene, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Steareth-20, Steareth-10, Xanthan Gum, Acer Saccharum (Sugar Maple) Extract, Disodium EDTA, Polysorbate 20, Diacetyl Boldine, Phenoxyethanol, Ethylhexylglycerin, Potassium Sorbate                             ",,No,,"1 Fl. Oz.",,
10122,"Kate Somerville Moisturizers",,,,,,,"Water/Aqua/Eau, Sucrose Polysoyate, Caprylic/Capric Triglyceride, Squalane, Isopropyl Isostearate, Butylene Glycol, Arachidyl Alcohol, Alpha-Arbutin, Dimethicone, Vaccinium Myrtillus Fruit Extract, Behenyl Alcohol, Polyacrylate-13, Cetearyl Alcohol, Saccharum Officinarum (Sugar Cane) Extract/Extrait de canne à sucre, Arachidyl Glucoside, Panthenol, Hexylresorcinol, Polyisobutene, Steareth-20, Steareth-10, Aminomethyl Propanol, Citrus Limon (Lemon) Fruit Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Lavandula Angustilfolia (Lavender) Flower Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Carbomer, Disodium EDTA, Acer Saccharum (Sugar Maple) Extract, Polysorbate 20, Retinol, Diacetyl Boldine, Phenoxyethanol, Ethylhexylglycerin, Potassium Sorbate",,No,,"2 Fl. Oz.",,
