"Product Name",Type,SKU,"Attribute Set Name","Skin Concern(s)","Benefits - Quiz",status,qty
"Purify Clarifying Cleanser",simple,10004,"Kate Somerville Cleansers",Oily,"combination skin;oily skin;safe for sensitive skin",enabled,1969
"ExfoliKate® Gentle Exfoliating Treatment",simple,10097,"Kate Somerville Exfoliators","Sensitive;All Skin Types",,enabled,1838
"ExfoliKate® Acne Clearing Exfoliating Acne Treatment",simple,10124,"Kate Somerville Exfoliators",Acne,,enabled,365
"Clearing Mask",simple,10008,"Kate Somerville",,,disabled,0
"Quench Hydrating Mask",simple,10090,"Kate Somerville",,,disabled,0
"Micro Glycolic Polisher",simple,10030,"Kate Somerville",,,disabled,0
"Clinic-To-Go™ Resurfacing Peel Pads",simple,10126,"Kate Somerville","Anti-Aging;Anti-Aging & Acne;Discoloration;Sensitive;Oily",,enabled,3911
"Total Vitamin Antioxidant Face Serum",simple,10013,"Kate Somerville Serums",,,disabled,0
"Overnight Discoloration Perfector Corrective Treatment",simple,10121,"Kate Somerville Discoloration Treatments",,,disabled,0
"Daily Discoloration Perfector Corrective Moisturizer",simple,10122,"Kate Somerville Moisturizers",,,disabled,0
"Spot Reducing Concentrate Skin Lightening Treatment",simple,10123,"Kate Somerville Discoloration Treatments",,,disabled,0
"Anti Bac Clearing Lotion Acne Treatment",simple,10015,"Kate Somerville Acne Treatments","Anti-Aging & Acne;Acne",,enabled,1412
"Clarifying Treatment Toner",simple,10016,"Kate Somerville","Anti-Aging & Acne;Acne;Oily",,enabled,3544
"EradiKate Acne Treatment",simple,10000,"Kate Somerville Acne Treatments","Anti-Aging & Acne;Acne",,enabled,7494
"Line Release Under Eye Repair Cream",simple,10017,"Kate Somerville Eye Creams","Anti-Aging;All Skin Types",,enabled,2464
"CytoCell™ Dermal Energizing Treatment",simple,10112,"Kate Somerville Moisturizers",Anti-Aging;Dry,,enabled,1899
"CytoCell™ Dark Circle Corrective Eye Cream",simple,10125,"Kate Somerville Eye Creams","Anti-Aging;All Skin Types",,enabled,4094
"Neck Tissue Repair Cream with Peptide K8",simple,10111,"Kate Somerville",,,disabled,0
